1KUNS-3;47941;;435.310 ;;1k2/9k6* FSK;;active
1KUNS-PF;43466;;437.300 ;;1k2-9k6* GMSK;;re-entered
239Alferov;64881;;436.270/10473.350;;9k6 GFSK/DVB-S2 QPSK;RS61S;active
3B5GSAT;47961;;437.130 ;;;;re-entered
3CAT-1;43728;;437.250 ;437.250 ;9600bps BPSK CW;;re-entered
3CAT-2;41732;;145.970/2401.000;;9600bps BPSK/100kbps GMSK;;inactive
3CAT-3;;;;;;;to be launched
3CAT-4;60236;;437.350 ;;9k6/14k4 GMSK;;unknown
3CAT-5A;46292;;401.337 ;;FM;;inactive
3CAT-5A;46292;;401.337 ;;FM;;inactive
3UCubed-A;;;437.010 ;;9600bps GFSK;;unknown
6GSTARLAB;;;433.895/2275.000;;9600bps BPSK;;unknown
4M-LXS;;;145.980 ;;WSJT-JT65B;LX0OHB;deep space
Aalto-1;42775;;437.220/2402.000;437.220 ;9600bps GFSK CW;OH2A1S;re-entered
Aalto-2;42729;;437.335 ;437.335 ;9600bps GFSK CW;AALTO2;re-entered
Aalto-3;;;437.325 ;;;;unknown
AAUSAT-1;27846;;437.450 ;;9600bps GMSK;;inactive
AAUSAT-2;32788;;437.426 ;;1k2*MSK 9k6 FSK;OZ2CUB;re-entered
AAUSAT-3;39087;;437.425 ;437.425 ;4800bps FSK CW;OZ3CUB;inactive
AAUSAT-4;41460;;437.425 ;437.425 ;2k4*/9k6/19k2 GFSK CW;OZ4CUB;re-entered
AAUSAT-5;40948;;437.425 ;437.425 ;9600bps GMSK CW;OZ5CUB;re-entered
ACRUX-1;44369;;437.200 ;;9600bps GMSK;CQ;re-entered
ACS3;59588;;401.500 ;;2400bps GMSK;;non-amateur
AC1-001/002/003;;;2255.000 ;;;;unknown
ADDCUBE;64590;;435.500/2412.000;;FM;;unknown
AENEAS;38760;;437.600 ;;1200bps AFSK;KE6YFA;inactive
AEPEX;;;437.325/2405.000;;9k6/19k2GFSK 10MbpsOQPSK;;to be launched
AeroCube-1;;;902-928;;9600bps GFSK;;failure
AeroCube-2;31133;;902-928;;9600bps GFSK;;inactive
AEROS-MH-1;59145;;2245.000 ;;FM;;unknown
AESP14;40389;;437.600 ;;9600bps GFSK;;inactive
AE2a;;;;;;;unknown
AE3Va;;;;;;;unknown
AggieSat-4;41313;;436.250 ;;9k6/153k6 FSK;;re-entered
AHMAT-1;57206;;437.050 ;;1145baudAFSK;RS41S;unknown
AIM;31304;;2282.500 ;;;;re-entered
AISat;40054;;437.250 ;437.511 ;CW;DP0AIS;inactive
AISAT-1;44104;145.825 ;145.825/2259.000;;1200bps AFSK;AISAT;inactive
AISTECHSAT-2;43768;;436.730 ;;4k8*/9k6 FSK;;active
AISTECHSAT-3;44103;;436.730 ;;4k8/9k6* FSK;;re-entered
AIST-1;39492;;435.265 ;435.265 ;CW;;re-entered
AIST-2;39133;;435.215 ;435.265 ;FM CW;;inactive
AIST-2D;41465;145.831-145.849;435.3065-435.3235;435.315 ;4800bps PSK CW;;inactive
AlainSat-1;62637;;400.650/400.850;2260.000 ;4k8/9k6 FSK;;inactive
ALEXANDER;39144;;2401.200-2431.200;437.425 ;1200bps AFSK;KJ6KRW;re-entered
AlfaCrux;52160;437.225 ;437.100*/437.225;;4800bps FSK Digipeater;;re-entered
ALICE;39467;;460.xxx;;GFSK;;non-amateur
All-Star/THEIA;39683;;2401.700 ;;256Kbps BPSK;COSGC1AS;unknown
ALPHA;53110;;436.500 ;;9600bps FSK;;inactive
ALMASat-1;38078;;437.465/2407.850;;1200bps FSK;ALMASAT;re-entered
ALSAT-1B;41785;;2233.332 ;;FM;;unknown
ALSAT-1N;41789;;437.650 ;;9600bps FSK;AL1N;inactive
ALSAT-2A;36789;;2266.500 ;;200kbps BPSK;;unknown
ALSAT-2B;41786;;2266.500 ;;FM;;unknown
Altair;61779;;435.215*/435.615/435.715;;1k2AFSK 4k8BPSK;RS65S;unknown
Al-Farabi-2;43805;;436.500 ;436.500 ;4800bps GMSK CW;UN1GWA;inactive
Al-Munther;63240;;401.175*/436.500 ;;1200bps BPSK FM;ALMTFM;active
AMAN-1;;;401.100 ;;9600bps FSK;;inactive
AmGU-1;44394;;436.250 ;;4800bps mobitex;;re-entered
AmicalSat;46287;;436.100*/2415.300;;1k2*AFSK 9k6 GMSK;RS17S;re-entered
AmurSat;44394;;436.250 ;;4800bps mobitex;;re-entered
ANDE;29664;145.825 ;145.825 ;;1200bps AFSK;ANDE;re-entered
ANDE-2;35694;;145.825 ;;1200bps AFSK;KD4HBO;re-entered
ANDE-2;35693;;145.825 ;;1200bps AFSK;POLLUX;re-entered
ANSER-Leader;;;401.850 ;;FM;;re-entered
ANSER-Follower-1;58018;;401.850 ;;FM;;unknown
ANSER-Follower-2;58019;;401.850 ;;FM;;unknown
ANSER-Leaser-S;62644;;401.850/2204.525;;9600bps FSK;;inactive
ANTELSat;40034;;437.575/2403.000;437.280 ;1k2 AFSK GFSK/MSK CW;CX1SAT;inactive
ANUSAT;34808;;;137.400 ; 1200bps AFSK Carrier;;re-entered
Aoba-VELOX-III;41935;;437.375 ;437.375 ;1200bps AFSK CW;JG6YBW;re-entered
Aoba-VELOX-IV;43940;;437.225 ;;9600bps GMSK;;inactive
AoXiang-1;42735;;436.150*/437.640;;9600bps BPSK;NPUAX1;re-entered
AO-1;214;;144.983 ;144.983 ;CW;;re-entered
AO-2;305;;144.983 ;144.983 ;CW;;re-entered
AO-3;1293;145.975-146.025;144.325-144.375;;SSB CW;;inactive
AO-4;1902;432.145-432.155;144.300-144.310;431.928 ;SSB CW;;re-entered
AO-5;4321;;29.450 ;144.050 ;CW;;inactive
AO-6;6236;145.900-146.000;29.450- 29.550;435.100 ;SSB CW;;inactive
AO-7;7530;145.850-145.950;29.400- 29.500;29.502 ;A;;active
AO-7;7530;432.125-432.175;145.975-145.925;145.970 ;B C;;active
AO-7;7530;;2304.100 ;435.100 ;D(RTTY);;inactive
AO-8;10703;145.850-145.900;29.400- 29.500;29.402 ;SSB CW;;inactive
AO-8;10703;145.900-146.000;435.200-435.100;435.095 ;SSB CW;;inactive
AO-10;14129;435.030-146.180;145.975-145.825;145.810 ;SSB CW;;inactive
AO-13;19216;435.423-435.573;145.975-145.825;145.812 ;SSB CW;;re-entered
AO-16;20439;145.920 ;437.026 ;;FM USB;;inactive
AO-16;20439;145.920 ;437.026 ;2401.143 ;1200bps JAS;PACSAT-11 12;inactive
AO-21;21087;;145.800 ;145.822 ;1200bps BPSK CW;;inactive
AO-24;22654;;145.975 ;2446.540 ;1200bps AFSK;;inactive
AO-27;22825;145.850 ;436.795 ;;1200bps AFSK FM;;inactive
AO-37;26065;145.960/145.980;435.700 ;;9600bps FSK;;inactive
AO-40;26609;;;2401.323 ;400bps PSK;;inactive
AO-49;27605;435.275 ;145.825 ;;U/1200 D/9600 MSK;;inactive
AO-51;28375;145.920 ;435.300 ;435.150 ;FM tone 67.0Hz;;inactive
AO-51;28375;145.860/145.880;2401.200 ;435.150 ;9600bps FSK;PECHO-11 12;inactive
AO-51;28375;1268.700 ;435.150 ;;9600bps FSK;PACB-11 12;inactive
AO-54;28933;;145.990 ;;FM;;unknown
AO-71;37854;;437.475 ;437.473 ;1200bps AFSK CW;;re-entered
AO-73;39444;435.130-435.150;145.970-145.950;145.935 ;1200*bps BPSK SSB;;active
AO-85;40967;435.182 ;145.980 ;145.980 ;FM CTCSS 67.0Hz/200bps DUV;;inactive
AO-91;43017;435.250 ;145.960 ;145.960 ;FM* CTCSS 67.0Hz/200bps DUV;;active
AO-92;43137;435.350/1267.350;145.880 ;145.880 ;FM CTCSS 67.0Hz/200bps DUV;;re-entered
AO-95;43770;435.300/1267.300;145.920 ;145.920 ;FM CTCSS 67.0Hz/200bps DUV*;;inactive
AO-109;47311;145.860-145.890;435.790-435.760;435.750 ;1k2 BPSK SSB CW*;;re-entered
AO-123;61781;145.875 ;435.400/436.210/10460.000;;9k6BPSK NBFM QSPK FM;RS64S BJ2CR;active
APEX-ARIES-1;59129;;401.075 ;;FM;;unknown
AprizeSat-1;28372;;;;;;non-amateur
AprizeSat-2;28366;;;;;;non-amateur
AprizeSat-3;35686;;;;;;non-amateur
AprizeSat-4;35684;;;;;;non-amateur
AprizeSat-5;37792;;;;;;non-amateur
AprizeSat-6;37793;;400.591 ;;9600bps GMSK;;non-amateur
AprizeSat-7;39416;;400.585 ;;9600bps GMSK;;non-amateur
AprizeSat-8;39425;;400.553 ;;9600bps GMSK;;non-amateur
AprizeSat-9;40018;;400.552 ;;9600bps GMSK;;non-amateur
AprizeSat-10;40019;;400.573 ;;9600bps GMSK;;non-amateur
APSS-1;46932;;435.100 ;;9600bps GMSK;;unknown
AQT-D;44791;;;;;;re-entered
ARCADE;57485;;437.760 ;;9600bps GFSK;;inactive
ARCE-1A;47616;;2417.000/2449.2815;;BPSK QPSK FSK;;inactive
ARCE-1B;47615;;2417.000/2449.2815;;BPSK QPSK FSK;;inactive
ARCE-1C;47484;;2417.000/2449.2815;;BPSK QPSK FSK;;inactive
ArcCube-01;57205;;437.600 ;;2k4*-9k6 GMSK_USP;RS25S;unknown
ARCSAT;52161;;267.300 ;;FM;;inactive
ARCSTONE;64540;;;;;;unknown
ArcticSat-1;61762;;435.890 ;;2k4/9k6*GMSK_USP SSTV;RS74S;active
ARC-1;40969;;437.565 ;2440.500 ;9600bps 1Mbps CW;;re-entered
Arduiqube;47963;;437.125 ;437.125 ;500bdRTTY 500bd FSK CW;;re-entered
ArduSat-1;39412;;437.325 ;437.000 ;9600bps MSK CW;WG9XFC1;re-entered
ArduSat-2;39570;;437.xxx;;9600bps MSK CCSDS;WG9XFC2;re-entered
ArduSat-X;39414;;437.345 ;437.007 ;9600bps MSK CW;WG9XFCX;re-entered
ARGOS-4;54023;;465.988/1.703GHz;;QPSK;;inactive
Argus;;;2403.000-2403.400;437.290 ;1200bps AFSK;;failure
Argus-2;45257;;437.290 ;;9600bps GMSK;;re-entered
Argus-01/02;;;;;UHFLoRa;;unknown
ARICA-2;;;436.830 ;436.830 ;4k8_GMSK CW;;to be launched
ARISSat-1;37772;435.742-435.758;145.938-145.922;145.919 ;FM linear/inverting;;re-entered
ARISSat-1;37772;;145.950 ;;FM SSTV Telemetry;;re-entered
ARISSat-1;37772;;145.918 ;145.919 ;BPSK-1000/CW;RS01S;re-entered
ARISSat-1;37772;;145.939 ;145.939 ;BPSK-400/CW;;re-entered
ARKSAT-1;56311;;435.450 ;;9600bps FSK;;re-entered
Armadillo;44352;;437.525 ;;19k2*/38k4 GMSK;KE5DTW;re-entered
ARTSAT1-INVADER;39577;;437.200 ;437.325 ;1k2AFSK DigiTalker CW;JQ1ZKK;re-entered
ARTSAT2-DESPATCH;40321;;437.325 ;437.325 ;CW;JQ1ZNN;deep space
ARVAKER-2;;;;;;;unknown
ARVAKER-3;;;;;;;unknown
ASELSAT;47441;;436.950 ;;;;unknown
ASRTU-1;61781;145.850*/145.875 ;435.400*/436.210/10460.000;;9k6BPSK NBFM QSPK FM;RS64S BJ2CR;active
AstroBio;53107;435.600 ;435.600/437.425*;IU0SIA;9600bps FSK Digipeater;;inactive
Astrocast-0.1;43798;;437.150/2403.000;;1200bps FSK;HB9GSF;active
Astrocast-0.2;44083;;437.175/2406.000;;1200bps FSK;HB9GSF;re-entered
Astrocast-0101;47430;;;;;;unknown
Astrocast-0102;47488;;1.531GHz;;FM;;active
Astrocast-0103;47487;;1.531GHz;;FM;;active
Astrocast-0104;47519;;1.531GHz;;FM;;active
Astrocast-0105;47517;;;;;;unknown
Astrocast-0201;48954;;1.531GHz;;FM;;unknown
Astrocast-0202;48961;;;;;;re-entered
